"User.ID","Location","Age","Publisher","genres"
2033,"United States of America",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
14456,"canada",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
25009,"United States of America",39,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
59971,"United States of America",27,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
78973,"portugal",29,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
79441,"canada",43,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
97945,"United States of America",34,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
100227,"iran",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
105517,"canada",28,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
125774,"iran",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
128835,"United States of America",60,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
131046,"United States of America",26,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
148744,"United States of America",67,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
171118,"canada",47,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
180378,"canada",38,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
182334,"United States of America",31,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
182969,"United States of America",36,"Andrews McMeel Publishing","'Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Childrens', 'Comedy', 'Graphic Novels Comics'"
