"User.ID","Location","Age","Publisher","genres","Country"
2033,"United States Of America",27,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
14456,"Canada",27,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
25009,"United States Of America",39,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
59971,"United States Of America",27,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
78973,"Portugal",29,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Portugal"
79441,"Canada",43,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
97945,"United States Of America",34,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
100227,"Iran",36,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Iran"
105517,"Canada",28,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
125774,"Iran",36,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Iran"
128835,"United States Of America",60,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
131046,"United States Of America",26,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
148744,"United States Of America",67,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
171118,"Canada",47,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
180378,"Canada",38,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
182334,"United States Of America",31,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
182969,"United States Of America",36,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
186039,"Iran",24,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Iran"
187981,"Australia",23,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Australia"
194124,"United States Of America",19,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
196108,"United States Of America",34,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
196148,"Canada",26,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","Canada"
196886,"United States Of America",30,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
198012,"United States Of America",34,"Andrews McMeel Publishing","Comics, Humor, Graphic Novels, Fiction, Childrens, Comedy, Graphic Novels Comics","United States"
