Gender;Birthdate;Age;Product;Date;Time;Quantity;Revenue
Женский;1977-08-17;48.0;Cactus Gel Pen;2023-03-18;22:09:49;1;2284.51
Женский;1977-08-17;48.0;Desk Friends - Dino;2023-03-18;22:09:49;1;6520.38
Женский;1977-08-17;48.0;Desk Friends - Shark;2023-02-23;21:59:58;1;6499.18
Женский;1977-08-17;48.0;Gel Pen - Hello Summer - Pink - Ice Pop;2023-03-18;22:09:49;1;1856.17
Женский;1977-08-17;48.0;Hug Me - Glue Stick;2023-03-18;22:09:49;1;904.3
Женский;1977-08-17;48.0;Meow - Correction Tape;2023-02-23;21:59:58;1;1755.24
Женский;1977-08-17;48.0;Mini Friends - Mini Stapler;2023-03-18;22:09:49;1;3236.42
Женский;1977-08-17;48.0;Pencil- Ruler;2023-03-18;22:09:49;1;1285.04
Женский;1977-08-17;48.0;Puzzle - Stars;2023-05-03;22:07:43;1;9164.02
Женский;1977-08-17;48.0;Puzzle - Word Cities;2023-02-23;21:59:58;1;9250.6
Женский;1977-08-17;48.0;Tape By Tape - Cute Animals;2023-03-18;22:09:49;1;3474.36
Женский;1977-08-17;48.0;Unicorn Slurp - Correction Tape;2023-03-18;22:09:49;1;2200.0
Женский;1977-08-17;48.0;Xoxo - Lipstick Scented Eraser - Panda;2023-03-18;22:09:49;1;1285.04
Женский;1977-08-17;48.0;Zangak էկո տոպրակ (Ա3);2023-02-23;21:59:58;1;296.63
Женский;1977-08-17;48.0;Zangak էկո տոպրակ (Ա4);2023-05-03;22:07:43;1;200.0
Женский;1977-08-17;48.0;Եգիպտոսը խոշորացույցով;2023-02-23;21:59:58;1;7660.65
Женский;1977-08-17;48.0;Երկնագույն նետը;2023-06-26;22:05:34;1;2700.0
Женский;1977-08-17;48.0;Խենթը;2023-09-07;22:01:12;1;3763.5
Женский;1977-08-17;48.0;Կրծքանշան;2023-07-28;21:58:25;1;189.97
Женский;1977-08-17;48.0;Պատվի համար;2023-07-28;21:58:25;1;2364.9
Женский;1977-08-17;48.0;Սպիտակ ժանիք;2023-07-28;21:58:25;1;2361.9
Женский;1977-08-17;48.0;Տետր Պատմություն;2023-03-18;22:09:49;1;663.7
Женский;1977-08-17;48.0;Քաոս;2023-07-28;21:58:25;1;4264.38
Женский;1992-12-24;33.0;Zangak էկո տոպրակ (Ա3);2023-01-06;21:51:52;1;300.0
Женский;1992-12-24;33.0;Առևանգում, որ ցնցեց կատուների քաղաքը;2023-01-06;21:51:52;2;5842.76
Женский;1992-12-24;33.0;Եվայի երազը;2023-01-06;21:51:52;1;2921.35
Женский;1992-12-24;33.0;Խառնիր ու համընկեցրու;2023-01-06;21:51:52;1;3712.78
Женский;1992-12-24;33.0;Մշուշի հովիտը;2023-09-09;21:41:48;1;3830.4
Женский;1992-12-24;33.0;Տառապանքի ուղիներում;2023-05-25;22:03:57;1;5270.4
Женский;1990-08-20;35.0;Zangak էկո տոպրակ (Ա3) ամանորյա;2023-12-23;23:24:47;1;294.41
Женский;1990-08-20;35.0;Zangak էկո տոպրակ (Ա4);2023-04-17;21:59:05;1;200.0
Женский;1990-08-20;35.0;Zangak էկո տոպրակ (Ա4) ամանորյա;2023-12-26;22:57:23;1;197.92
Женский;1990-08-20;35.0;Мозг. Ваша личная история;2023-10-15;22:07:38;1;2660.0
Женский;1990-08-20;35.0;Тонкое искусство пофигизма: Парадоксальный способ жить счастливо;2023-04-22;21:58:30;1;5856.0
Женский;1990-08-20;35.0;Գլխարկ - Հավատա քեզ KAR Comedy;2023-12-26;22:57:23;1;6828.14
Женский;1990-08-20;35.0;Գրչատուփ - Հավատա քեզ KAR Comedy;2023-12-23;23:24:47;1;2869.81
Женский;1990-08-20;35.0;Երբեք մենակ մի ճաշեք;2023-10-15;22:07:38;1;5750.4
Женский;1990-08-20;35.0;Ընթերցանության վարժարան 1-2-րդ դասարաններ;2023-04-17;21:59:05;1;1640.5
Женский;1990-08-20;35.0;Իմ առաջին ընթերցարանը;2023-04-17;21:59:05;1;2328.0
Женский;1990-08-20;35.0;Հակափխրունություն;2023-07-15;21:59:06;1;7388.94
Женский;1990-08-20;35.0;Հապշտապ - Հավատա քեզ - KAR Comedy;2023-10-15;22:07:38;1;5664.0
Женский;1990-08-20;35.0;Շապիկ - Հավատա քեզ KAR Comedy;2023-12-26;22:57:23;1;5838.52
Женский;1990-08-20;35.0;Շարլոթի սարդոստայնը;2023-12-26;22:57:23;1;3265.61
Женский;1990-08-20;35.0;Շվեյցարացի ռոբինզոնները;2023-10-15;22:07:38;1;2592.0
Женский;1990-08-20;35.0;Ուսապարկ - Հավատա քեզ KAR Comedy;2023-12-23;23:24:47;1;12143.67
Женский;1990-08-20;35.0;Սև Գեղեցկաբաշը;2023-10-15;22:07:38;1;2592.0
Женский;1990-06-04;35.0;Zangak էկո տոպրակ (Ա3) ամանորյա;2023-12-29;23:11:56;1;295.43
Женский;1990-06-04;35.0;Կեսգիշերի զավակները;2023-12-29;23:11:56;1;5865.0
Женский;1990-06-04;35.0;Հայրենիք;2023-12-29;23:11:56;1;4930.0
Женский;1990-06-04;35.0;Հրապարակն ու Աշտարակը;2023-12-29;23:11:56;1;5780.0
Женский;1967-10-01;58.0;Magic Cube;2023-09-02;22:08:46;1;5136.0
Женский;1967-10-01;58.0;Winnie-the-Pooh: All About Eeyore;2023-03-09;21:48:50;1;2400.0
Женский;1967-10-01;58.0;Winnie-the-Pooh: All About Piglet;2023-03-09;21:48:50;1;2400.0
Женский;1967-10-01;58.0;Xoxo - Lipstick Scented Eraser - Panda;2023-02-24;22:13:24;1;1296.0
Женский;1967-10-01;58.0;Zangak էկո տոպրակ (Ա3) ամանորյա;2023-06-01;22:00:04;1;292.44
Женский;1967-10-01;58.0;Zangak էկո տոպրակ (Ա4);2023-09-02;22:08:46;1;200.0
Женский;1967-10-01;58.0;Гравити Фолз. Полная история. Сезон 1;2023-06-01;22:00:04;1;10843.56
Женский;1967-10-01;58.0;Եվրատեսիլ - Հոլ;2023-08-01;21:56:53;1;5820.0
Женский;1967-10-01;58.0;Հայտորոշիչ թեստեր Մայրենի 4;2023-08-01;21:56:53;1;873.0
Женский;1967-10-01;58.0;Հին երկրից բերած խրատական առակներ;2023-09-02;22:08:46;1;572.3
Женский;1967-10-01;58.0;Քանոն 15cm;2023-02-24;22:13:24;1;576.0
Женский;1984-01-21;41.0;Bookmark - Book Lover;2023-12-09;22:00:00;1;1978.66
Женский;1984-01-21;41.0;Bookmark - Dino;2023-12-09;22:00:00;1;1978.66
Женский;1984-01-21;41.0;Bookmark - Little Prince;2023-12-09;22:00:00;1;1978.66
Женский;1984-01-21;41.0;Bookmark - Owl;2023-12-09;22:00:00;1;1978.66
Женский;1984-01-21;41.0;Bookmark - Space;2023-12-09;22:00:00;1;1978.66
Женский;1984-01-21;41.0;geek power !;2023-05-29;17:11:29;1;1507.87
Женский;1984-01-21;41.0;Gift Bag - Medium - Space;2023-05-29;17:11:29;1;1995.0
